word_bw	word_ar	lemma_bw	lemma_ar	pos	stem_bw	stem_ar	gloss	root_bw	root_ar
mmkn	ممكن	mumokin	مُمْكِن	adj	mumokin	مُمْكِن	possible+[indef.gen.]	m.k.n	م.ك.ن
ykwn	يكون	kAn	كان	verb	kuwn	كُون	he;it+is;are	k.#.n	ك.#.ن
AHnA	احنا	>aH~	أَحّ	noun	>aH~	أَحّ	cough+our	#.H.H	#.ح.ح
lynA	لينا	liynA	لِينا	noun_prop	liynA	لِينا	Lina	NTWS	NTWS
Alyd	اليد	yad	يَد	noun	yad	يَد	the+hand+[def.gen.]	#.d.#	#.د.#
AlEAlyp	العالية	EAliy	عالِي	noun	EAliy	عالِي	the+high;elevated+[fem.sg.]	E.l.#	ع.ل.#
fY	فى	fiy	فِي	prep	fiy	فِي	in	f.#	ف.#
AlqAhrp	القاهرة	qAhirap	قاهِرَة	noun_prop	qAhir	قاهِر	the+Cairo+[fem.sg.]	q.h.r	ق.ه.ر
lkn	لكن	l`kin~a	لٰكِنَّ	conj	l`kin~a	لٰكِنَّ	however	l.k.n	ل.ك.ن
fY	فى	fiy	فِي	prep	fiy	فِي	in	f.#	ف.#
AlmHAfZAt	المحافظات	muHAfaZap	مُحافَظَة	noun	muHAfaZ	مُحافَظ	the+province;governorate+[fem.pl.]	H.f.Z	ح.ف.ظ
wxSwSA	وخصوصا	xuSuwS	خُصُوص	noun	xuSuwS	خُصُوص	and+matter;issue;regard;respect+[acc.indef.]	x.S.S	خ.ص.ص
bwrsEyd	بورسعيد	buwrosaEiyd	بُورْسَعِيد	noun_prop	buwrosaEiyd	بُورْسَعِيد	Port_Said	NTWS	NTWS
SEb	صعب	SaEob	صَعْب	adj	SaEob	صَعْب	difficult;arduous+[indef.nom.]	S.E.b	ص.ع.ب
wAllY	واللى	lay~	لَيّ	noun	lay~	لَيّ	[part.]_+_the+distortion;contortion	l.#.#	ل.#.#
HSl	حصل	HaSal	حَصَل	verb	HaSal	حَصَل	obtain;acquire;get+he;it_<verb>	H.S.l	ح.ص.ل
mn	من	min	مِن	prep	min	مِن	from	m.n	م.ن
tksyr	تكسير	takosiyr	تَكْسِير	noun	takosiyr	تَكْسِير	fragmentation;fracturing	k.s.r	ك.س.ر
Elyh	عليه	EalaY	عَلَى	prep	Ealay	عَلَي	on;above+it;him	E.l.#	ع.ل.#
lAn	لان	>an~a	أَنَّ	conj_sub	li>an~a	لِأَنَّ	because	#.n.n	#.ن.ن
bwrsEyd	بورسعيد	buwrosaEiyd	بُورْسَعِيد	noun_prop	buwrosaEiyd	بُورْسَعِيد	Port_Said	NTWS	NTWS
mn	من	min	مِن	prep	min	مِن	from	m.n	م.ن
sAEp	ساعة	sAEap	ساعَة	noun	sAE	ساع	hour;time+[fem.sg.]	s.#.E	س.#.ع
syd	سيد	say~id	سَيِّد	noun_prop	say~id	سَيِّد	Sir;Mr.;Mister	s.#.d	س.#.د
mtwlY	متولى	mutawal~iy	مُتَوَلِّي	noun_prop	mutawal~iy	مُتَوَلِّي	Mitwalli	#.l.#	#.ل.#
whY	وهى	hiya	هِيَ	pron	hiya	هِيَ	while+it;they;she	h	ه
mn	من	min	مِن	prep	min	مِن	from	m.n	م.ن
tksyr	تكسير	takosiyr	تَكْسِير	noun	takosiyr	تَكْسِير	fragmentation;fracturing	k.s.r	ك.س.ر
wtxryb	وتخريب	taxoriyb	تَخْرِيب	noun	taxoriyb	تَخْرِيب	and+destruction;sabotage;terrorism+[def.gen.]	x.r.b	خ.ر.ب
bs	بس	bas~	بَسّ	verb	bas~	بَسّ	crush;pulverize+he;it_<verb>	b.s.s	ب.س.س
kAn	كان	kAn	كان	verb	kAn	كان	was;were+he;it_<verb>	k.#.n	ك.#.ن
wklh	وكله	>akal	أَكَل	verb	kul	كُل	while+eat+you_<verb>_it;him	#.k.l	#.ك.ل
kAn	كان	kAn	كان	verb	kAn	كان	was;were+he;it_<verb>	k.#.n	ك.#.ن
fAkr	فاكر	fAkir	فاكِر	noun_prop	fAkir	فاكِر	Wacker	NTWS	NTWS
Anh	انه	>an~a	أَنَّ	conj_sub	>an~a	أَنَّ	that+it;he	#.n.n	#.ن.ن
kdp	كدة	kad~	كَدّ	noun	kad~	كَدّ	toil;labor+its;his	k.d.d	ك.د.د
brns	برنس	buronus	بُرْنُس	noun	buronus	بُرْنُس	burnoose	b.r.n.s	ب.ر.ن.س
AllyAlY	الليالى	layolap	لَيْلَة	noun	layAliy	لَيالِي	the+nights;evenings;soirees	l.#.l	ل.#.ل
ElY	على	EalaY	عَلَى	prep	EalaY	عَلَى	on;above	E.l.#	ع.ل.#
AY	اى	>ay~	أَيّ	noun_quant	>ay~	أَيّ	any	#.#.#	#.#.#
Hd	حد	Had~	حَدّ	noun	Had~	حَدّ	stop;halt+[indef.gen.]	H.d.d	ح.د.د
mSdq	مصدق	muSad~aq	مُصَدَّق	adj	muSad~aq	مُصَدَّق	credible;reliable	S.d.q	ص.د.ق
An	ان	>an~a	أَنَّ	conj_sub	>an~a	أَنَّ	that	#.n.n	#.ن.ن
mmkn	ممكن	mumokin	مُمْكِن	adj	mumokin	مُمْكِن	possible+[indef.gen.]	m.k.n	م.ك.ن
Hd	حد	Had~	حَدّ	noun	Had~	حَدّ	stop;halt+[indef.gen.]	H.d.d	ح.د.د
yElm	يعلم	Ealim	عَلِم	verb	Eolam	عْلَم	he;it+know;find_out	E.l.m	ع.ل.م
Elyh	عليه	EalaY	عَلَى	prep	Ealay	عَلَي	on;above+it;him	E.l.#	ع.ل.#
kl	كل	kul~	كُلّ	noun	kul~	كُلّ	every;all+[def.gen.]	k.l.l	ك.ل.ل
qyAdAt	قيادات	qiyAdap	قِيادَة	noun	qiyAd	قِياد	leaders;commanders+[fem.pl.]	q.#.d	ق.#.د
ms}wlp	مسئولة	maso&uwl	مَسْؤُول	adj	maso}uwl	مَسْئُول	responsible;dependable+[fem.sg.]	s.#.l	س.#.ل
En	عن	Ean	عَن	prep	Ean	عَن	from;about	E.n	ع.ن
mA	ما	mA	ما	pron_rel	mA	ما	what	m.#	م.#
Hdv	حدث	Hadav	حَدَث	verb	Hadav	حَدَث	happen;take_place+he;it_<verb>	H.d.v	ح.د.ث
l$wyp	لشوية	$awiy~	شَوِيّ	adj	$awiy~	شَوِيّ	indeed;truly+roasted;broiled+its;his	$.#.#	ش.#.#
$bAb	شباب	$abAb	شَباب	noun_prop	$abAb	شَباب	Jeunesse_(in_"Jeunesse_de_la_Massira")	$.b.b	ش.ب.ب
wATfAl	واطفال	Tifol	طِفْل	noun	>aTofAl	أَطْفال	and+children;infants+[indef.nom.]	T.f.l	ط.ف.ل
Allh	الله	All~ah	اللَّه	noun_prop	All~`h	اللّٰه	Allah;God	#.l.h	#.ل.ه
yrHmhm	يرحمهم	raHim	رَحِم	verb	roHam	رْحَم	he;it+have_mercy_with+them	r.H.m	ر.ح.م
wAllh	والله	All~ah	اللَّه	noun_prop	All~`h	اللّٰه	[part.]+Allah;God	#.l.h	#.ل.ه
yjAzY	يجازى	jAzaY	جازَى	verb	jAzaY	جازَى	he;it+be_sanctioned;be_rewarded;be_punished	j.z.#	ج.ز.#
AllY	اللى	lay~	لَيّ	noun	lay~	لَيّ	the+distortion;contortion	l.#.#	ل.#.#
kAn	كان	kAn	كان	verb	kAn	كان	was;were+he;it_<verb>	k.#.n	ك.#.ن
Alsbb	السبب	sabab	سَبَب	noun	sabab	سَبَب	the+reason;cause+[def.gen.]	s.b.b	س.ب.ب
wTlE	وطلع	TalaE	طَلَع	verb	TalaE	طَلَع	and+appear;rise+he;it_<verb>	T.l.E	ط.ل.ع
AlyAfTp	اليافطة	yafoTap	يَفْطَة	noun	yAfoT	يافْط	the+placard;sign+[fem.sg.]	#.f.T	#.ف.ط
wDrb	وضرب	Darob	ضَرْب	noun	Darob	ضَرْب	and+strike;attack;bombardment+[def.gen.]	D.r.b	ض.ر.ب
$mAryx	شماريخ	$umoruwx	شُمْرُوخ	noun	$amAriyx	شَمارِيخ	petard;detonator	$.m.r.x	ش.م.ر.خ
wSwAryx	وصواريخ	SAruwx	صارُوخ	noun	SawAriyx	صَوارِيخ	and+missiles;rockets+[def.nom.]	S.r.x	ص.ر.خ
AlDrb	الضرب	Darob	ضَرْب	noun	Darob	ضَرْب	the+strike;attack;bombardment+[def.gen.]	D.r.b	ض.ر.ب
E$An	عشان	Eu$~	عُشّ	noun	Eu$~	عُشّ	nest+two	E.$.$	ع.ش.ش
AlyAfTp	اليافطة	yafoTap	يَفْطَة	noun	yAfoT	يافْط	the+placard;sign+[fem.sg.]	#.f.T	#.ف.ط
bs	بس	bas~	بَسّ	verb	bas~	بَسّ	crush;pulverize+he;it_<verb>	b.s.s	ب.س.س
wlkn	ولكن	l`kin	لٰكِن	conj	l`kin	لٰكِن	and+however	l.k.n	ل.ك.ن
E$An	عشان	Eu$~	عُشّ	noun	Eu$~	عُشّ	nest+two	E.$.$	ع.ش.ش
HAjAt	حاجات	HAjap	حاجَة	noun	HAj	حاج	need;thing+[fem.pl.]	H.#.j	ح.#.ج
qbl	قبل	qibal	قِبَل	noun	qibal	قِبَل	(on_the)_part_of+[def.acc.]	q.b.l	ق.ب.ل
kdp	كدة	kad~	كَدّ	noun	kad~	كَدّ	toil;labor+its;his	k.d.d	ك.د.د
lkn	لكن	l`kin~a	لٰكِنَّ	conj	l`kin~a	لٰكِنَّ	however	l.k.n	ل.ك.ن
AlyAfTp	اليافطة	yafoTap	يَفْطَة	noun	yAfoT	يافْط	the+placard;sign+[fem.sg.]	#.f.T	#.ف.ط
kAnt	كانت	kAn	كان	verb	kAn	كان	was;were+it;they;she_<verb>	k.#.n	ك.#.ن
$rArp	شرارة	$ar~Ar	شَرّار	adj	$ar~Ar	شَرّار	sparkling;emitting_sparks+its;his	$.r.r	ش.ر.ر
AlAnTlAq	الانطلاق	{inoTilAq	ٱِنْطِلاق	noun	{inoTilAq	ٱِنْطِلاق	the+departure+[def.gen.]	T.l.q	ط.ل.ق
nfsY	نفسى	nafos	نَفْس	noun	nafos	نَفْس	same;self+my	n.f.s	ن.ف.س
AErf	اعرف	Earaf	عَرَف	verb	Eorif	عْرِف	I+know	E.r.f	ع.ر.ف
mn	من	min	مِن	prep	min	مِن	from	m.n	م.ن
AlgbY	الغبى	gabiy~	غَبِيّ	adj	gabiy~	غَبِيّ	the+ignorant;stupid	g.b.#	غ.ب.#
SAHb	صاحب	SAHib	صاحِب	noun	SAHib	صاحِب	friend;companion+[def.gen.]	S.H.b	ص.ح.ب
h*h	هذه	h`*A	هٰذا	pron_dem	h`*ihi	هٰذِهِ	this;these	h	ه
AlrsAlp	الرسالة	risAlap	رِسالَة	noun	risAl	رِسال	the+mission;task+[fem.sg.]	r.s.l	ر.س.ل
AlHqyrp	الحقيرة	Haqiyr	حَقِير	noun	Haqiyr	حَقِير	the+despicable;despised+[fem.sg.]	H.q.r	ح.ق.ر
kdh	كده	kad~	كَدّ	noun	kad~	كَدّ	toil;labor+its;his	k.d.d	ك.د.د
AtEdl	اتعدل	taEad~al	تَعَدَّل	verb	taEad~al	تَعَدَّل	I+be_altered	E.d.l	ع.د.ل
fY	فى	fiy	فِي	prep	fiy	فِي	in	f.#	ف.#
Hd	حد	Had~	حَدّ	noun	Had~	حَدّ	stop;halt+[indef.gen.]	H.d.d	ح.د.د
hnA	هنا	hunA	هُنا	adv	hunA	هُنا	here	h.n.#	ه.ن.#
w$krA	وشكرا	$ukor	شُكْر	noun	$ukor	شُكْر	and+thankfulness;thanks+[acc.indef.]	$.k.r	ش.ك.ر
ElY	على	EalaY	عَلَى	prep	EalaY	عَلَى	on;above	E.l.#	ع.ل.#
rdk	ردك	rad~	رَدّ	noun	rad~	رَدّ	reply+your	r.d.d	ر.د.د
AlwAHd	الواحد	wAHid	واحِد	noun	wAHid	واحِد	the+one+[def.gen.]	#.H.d	#.ح.د
ynAm	ينام	nAm	نام	verb	nAm	نام	he;it+sleep;lie_down	n.#.m	ن.#.م
xAlS	خالص	xAliS	خالِص	adj	xAliS	خالِص	pure;clear	x.l.S	خ.ل.ص
fy	في	fiy	فِي	prep	fiy	فِي	in	f.#	ف.#
Albld	البلد	balad	بَلَد	noun	balad	بَلَد	the+country+[def.gen.]	b.l.d	ب.ل.د
dY	دى	diy	دِي	noun_prop	diy	دِي	De	NTWS	NTWS
bs	بس	bas~	بَسّ	verb	bas~	بَسّ	crush;pulverize+he;it_<verb>	b.s.s	ب.س.س
Ant	انت	>anota	أَنْتَ	pron	>anota	أَنْتَ	you_[masc.sg.]	#.n	#.ن
lw	لو	law	لَو	conj	law	لَو	if	l.#	ل.#
EAyz	عايز	EAwiz	عاوِز	noun	EAyiz	عايِز	wanting;needing	E.#.z	ع.#.ز
tnzl	تنزل	nazal	نَزَل	verb	nozil	نْزِل	it;they;she+descend;stay	n.z.l	ن.ز.ل
Alqr>n	القرأن	quro|n	قُرْآن	noun_prop	quro|n	قُرْآن	the+Quran	q.r.#	ق.ر.#
kAml	كامل	kAmil	كامِل	adj	kAmil	كامِل	complete;full;integral+[indef.gen.]	k.m.l	ك.م.ل
ll$yx	للشيخ	$ayox	شَيْخ	noun	$ayox	شَيْخ	to;for_+_the+sheikh;chieftain+[def.gen.]	$.#.x	ش.#.خ
mHmd	محمد	muHam~ad	مُحَمَّد	noun_prop	muHam~ad	مُحَمَّد	Muhammad;Mohamed	H.m.d	ح.م.د
jbryl	جبريل	jabora}iyl	جَبْرَئِيل	noun_prop	jiboriyl	جِبْرِيل	Jibril;Gabriel	NTWS	NTWS
Aw	او	>aw	أَو	conj	>aw	أَو	or	#.#.n	#.#.ن
lAY	لاى	>ay~	أَيّ	noun_quant	>ay~	أَيّ	for;to+any	#.#.#	#.#.#
$yx	شيخ	$ayox	شَيْخ	noun	$ayox	شَيْخ	sheikh;chieftain+[def.nom.]	$.#.x	ش.#.خ
Axr	اخر	|xar	آخَر	adj	|xar	آخَر	other;another;latest+[def.gen.]	#.x.r	#.خ.ر
yAllh	يالله	yAll~`h	ياللّٰه	noun	yAll~`h	ياللّٰه	let's_go!	#.l.h	#.ل.ه
yA	يا	yA	يا	part_voc	yA	يا	oh;you	#.#	#.#
AbTAl	ابطال	baTal	بَطَل	noun	>aboTAl	أَبْطال	heroes;champions;stars+[def.gen.]	b.T.l	ب.ط.ل
fADl	فاضل	fADil	فاضِل	noun_prop	fADil	فاضِل	Fadil	f.D.l	ف.ض.ل
5	5	5	5	digit	5	5	5	DIGIT	DIGIT
E*rA	عذرا	Eu*or	عُذْر	noun	Eu*or	عُذْر	excuse+two	E.*.r	ع.ذ.ر
AbnA'	ابناء	>abonA'	أَبْناء	noun	>abonA'	أَبْناء	sons;children+[def.gen.]	b.n.#	ب.ن.#
Alsyd	السيد	say~id	سَيِّد	noun_prop	say~id	سَيِّد	the+Sir;Mr.;Mister+[def.nom.]	s.#.d	س.#.د
AlbdwY	البدوى	badawiy~	بَدَوِيّ	noun	badawiy~	بَدَوِيّ	the+Bedouin	b.d.#	ب.د.#
$w	شو	$uw	شُو	noun_prop	$uw	شُو	Shaw	NTWS	NTWS
r>ykm	رأيكم	ra>oy	رَأْي	noun	ra>oy	رَأْي	opinion;view;idea+your	r.#.#	ر.#.#
bklAm	بكلام	kalAm	كَلام	noun	kalAm	كَلام	by;with+speech;statement;remark;talk;saying+[indef.gen.]	k.l.m	ك.ل.م
AbrAhym	ابراهيم	<iborAhiym	إِبْراهِيم	noun_prop	<iborAhiym	إِبْراهِيم	Ibrahim	NTWS	NTWS
sEyd	سعيد	saEiyd	سَعِيد	noun_prop	saEiyd	سَعِيد	Said;Saeed	s.E.d	س.ع.د
<nh	إنه	<in~a	إِنَّ	verb_pseudo	<in~a	إِنَّ	that;indeed+it;he	#.n.n	#.ن.ن
nfsh	نفسه	nafos	نَفْس	noun	nafos	نَفْس	soul+its;his	n.f.s	ن.ف.س
yrjE	يرجع	rajaE	رَجَع	verb	rojiE	رْجِع	he;it+return	r.j.E	ر.ج.ع
Al>hly	الأهلي	>aholiy~	أَهْلِيّ	adj	>aholiy~	أَهْلِيّ	the+civil;domestic;family+[def.gen.]	#.h.l	#.ه.ل
tAny	تاني	ta>an~iy	تَأَنِّي	noun	ta>an~iy	تَأَنِّي	circumspection;prudence	#.n.#	#.ن.#
Allhm	اللهم	All~`hum~a	اللّٰهُمَّ	noun	All~`hum~a	اللّٰهُمَّ	truly;certainly;oh_God!;dear_God	#.l.h	#.ل.ه
AnSr	انصر	naSar	نَصَر	verb	noSur	نْصُر	I+assist;render_victorious;deliver	n.S.r	ن.ص.ر
Almntxb	المنتخب	munotaxab	مُنْتَخَب	noun	munotaxab	مُنْتَخَب	the+elected_candidate;elect+[def.gen.]	n.x.b	ن.خ.ب
Altwnsy	التونسي	tuwnisiy~	تُونِسِيّ	adj	tuwnisiy~	تُونِسِيّ	the+Tunisian+[def.gen.]	t.#.n.s	ت.#.ن.س
>*n	أذن	<i*on	إِذْن	noun	<i*on	إِذْن	permission;authorization	#.*.n	#.ذ.ن
lm	لم	lam	لَم	part_neg	lam	لَم	not	l.m	ل.م
tEbr	تعبر	Eab~ar	عَبَّر	verb	Eab~ir	عَبِّر	it;they;she+express	E.b.r	ع.ب.ر
bkAml	بكامل	kAmil	كامِل	adj	kAmil	كامِل	by;with+complete;full;integral+[def.gen.]	k.m.l	ك.م.ل
mHyThA	محيطها	muHiyT	مُحِيط	adj	muHiyT	مُحِيط	surrounding;peripheral+its;their;her	H.#.T	ح.#.ط
ybqY	يبقى	baqiy	بَقِي	verb	boqaY	بْقَى	he;it+remain;last	b.q.#	ب.ق.#
hdf	هدف	hadaf	هَدَف	noun	hadaf	هَدَف	goal;objective;intention+[def.acc.]	h.d.f	ه.د.ف
gyr	غير	gayor	غَيْر	noun	gayor	غَيْر	not;other+[def.gen.]	g.#.r	غ.#.ر
SHyH	صحيح	SaHiyH	صَحِيح	adj	SaHiyH	صَحِيح	true;correct+[indef.nom.]	S.H.H	ص.ح.ح
lw	لو	law	لَو	conj	law	لَو	if	l.#	ل.#
AHtsb	احتسب	{iHotasab	ٱِحْتَسَب	verb	Hotasib	حْتَسِب	I+take_into_consideration	H.s.b	ح.س.ب
mA	ما	mA	ما	pron_rel	mA	ما	what	m.#	م.#
xlS	خلص	xalaS	خَلَص	verb	xalaS	خَلَص	conclude+he;it_<verb>	x.l.S	خ.ل.ص
nfY	نفى	nafaY	نَفَى	verb	nafaY	نَفَى	deny;disavow;reject+he;it_<verb>	n.f.#	ن.ف.#
Alxbr	الخبر	xubar	خُبَر	noun_prop	xubar	خُبَر	the+Khobar	x.b.r	خ.ب.ر
yA	يا	yA	يا	part_voc	yA	يا	oh;you	#.#	#.#
Tlb	طلب	Talab	طَلَب	verb	Talab	طَلَب	request+he;it_<verb>	T.l.b	ط.ل.ب
mn	من	min	مِن	prep	min	مِن	from	m.n	م.ن
dktwrnA	دكتورنا	dukotuwr	دُكْتُور	noun	dukotuwr	دُكْتُور	doctor+our	NTWS	NTWS
AlgAlY	الغالى	gAliy	غالِي	noun	gAliy	غالِي	the+costly;beloved	g.l.#	غ.ل.#
EAyz	عايز	EAwiz	عاوِز	noun	EAyiz	عايِز	wanting;needing	E.#.z	ع.#.ز
drs	درس	daros	دَرْس	noun	daros	دَرْس	lesson;study+[def.acc.]	d.r.s	د.ر.س
ElA'	علاء	EalA'	عَلاء	noun_prop	EalA'	عَلاء	Alaa	E.l.#	ع.ل.#
SAdq	صادق	SAdiq	صادِق	noun_prop	SAdiq	صادِق	Sadiq	S.d.q	ص.د.ق
lbndq	لبندق	bunoduq	بُنْدُق	noun	bunoduq	بُنْدُق	indeed;truly+hazelnut;bullet	b.n.d.q	ب.ن.د.ق
wrdh	ورده	rad~	رَدّ	noun	rad~	رَدّ	while+reply+its;his	r.d.d	ر.د.د
ElY	على	EalaY	عَلَى	prep	EalaY	عَلَى	on;above	E.l.#	ع.ل.#
AlSHfY	الصحفى	SuHufiy~	صُحُفِيّ	noun	SuHufiy~	صُحُفِيّ	the+journalist;reporter	S.H.f	ص.ح.ف
AlsEwdY	السعودى	saEuwdiy~	سَعُودِيّ	adj	saEuwdiy~	سَعُودِيّ	the+Saudi	s.E.d	س.ع.د
fydyw	فيديو	fiydoyuw	فِيدْيُو	noun	fiydoyuw	فِيدْيُو	video	NTWS	NTWS
lAn	لان	>an~a	أَنَّ	conj_sub	li>an~a	لِأَنَّ	because	#.n.n	#.ن.ن
AlHAjAt	الحاجات	HAjap	حاجَة	noun	HAj	حاج	the+need;thing+[fem.pl.]	H.#.j	ح.#.ج
dY	دى	diy	دِي	noun_prop	diy	دِي	De	NTWS	NTWS
llAHtfAZ	للاحتفاظ	{iHotifAZ	ٱِحْتِفاظ	noun	{iHotifAZ	ٱِحْتِفاظ	to;for_+_the+safeguarding;preservation+[def.gen.]	H.f.Z	ح.ف.ظ
bhA	بها	bi	بِ	prep	bihA	بِها	with;by_+_it;them;her	b	ب
w$krA	وشكرا	$ukor	شُكْر	noun	$ukor	شُكْر	and+thankfulness;thanks+[acc.indef.]	$.k.r	ش.ك.ر
yA	يا	yA	يا	part_voc	yA	يا	oh;you	#.#	#.#
dktwr	دكتور	dukotuwr	دُكْتُور	noun	dukotuwr	دُكْتُور	doctor	NTWS	NTWS
Al<tHAd	الإتحاد	{it~iHAd	ٱِتِّحاد	noun	{it~iHAd	ٱِتِّحاد	the+union	#.H.d	#.ح.د
wqt	وقت	waqot	وَقْت	noun	waqot	وَقْت	time;moment;period_of_time+[indef.gen.]	#.q.t	#.ق.ت
Aljd	الجد	jid~	جِدّ	noun	jid~	جِدّ	the+seriousness;earnestness+[def.gen.]	j.d.d	ج.د.د
>$d	أشد	>a$ad~	أَشَدّ	noun	>a$ad~	أَشَدّ	stronger;strongest;more;most_intense+[def.acc.]	$.d.d	ش.د.د
wAllh	والله	All~ah	اللَّه	noun_prop	All~`h	اللّٰه	[part.]+Allah;God	#.l.h	#.ل.ه
AnA	انا	>anA	أَنا	pron	>anA	أَنا	I	#.n	#.ن
Aktr	اكتر	{ikotaraY	ٱِكْتَرَى	verb	kotar	كْتَر	I+rent;hire	k.r.#	ك.ر.#
Ant	انت	>anota	أَنْتَ	pron	>anota	أَنْتَ	you_[masc.sg.]	#.n	#.ن
knt	كنت	kAn	كان	verb	kun	كُن	was;were+I_<verb>	k.#.n	ك.#.ن
lAzm	لازم	lAzim	لازِم	adj	lAzim	لازِم	necessary;required;needed+[indef.nom.]	l.z.m	ل.ز.م
zY	زى	ziy~	زِيّ	noun	ziy~	زِيّ	uniform;clothing	z.#.#	ز.#.#
Alklb	الكلب	kalob	كَلْب	noun	kalob	كَلْب	the+dog	k.l.b	ك.ل.ب
1	1	1	1	digit	1	1	1	DIGIT	DIGIT
fyvA	فيثا	wava>	وَثَأ	verb	va|	ثَآ	and;so_+_they_(both)+bruise;sprain+[du.]	#.v.#	#.ث.#
hAnY	هانى	hAniy	هانِي	noun_prop	hAniy	هانِي	Hani	h.n.#	ه.ن.#
lAEb	لاعب	lAEib	لاعِب	noun	lAEib	لاعِب	player;athlete+[indef.gen.]	l.E.b	ل.ع.ب
ytmnAh	يتمناه	taman~aY	تَمَنَّى	verb	taman~A	تَمَنّا	he;it+desire;wish_for;hope+it;him	m.n.#	م.ن.#
AY	اى	>ay~	أَيّ	noun_quant	>ay~	أَيّ	any	#.#.#	#.#.#
nAdY	نادى	nAdaY	نادَى	verb	nAdaY	نادَى	announce;summon+he;it_<verb>	n.d.#	ن.د.#
wAn	وان	>an~a	أَنَّ	conj_sub	>an~a	أَنَّ	and+that	#.n.n	#.ن.ن
$A'	شاء	$A'	شاء	verb	$A'	شاء	want;desire;wish+he;it_<verb>	$.#.#	ش.#.#
Allh	الله	All~ah	اللَّه	noun_prop	All~`h	اللّٰه	Allah;God	#.l.h	#.ل.ه
n$wfh	نشوفه	$Af	شاف	verb	$uwf	شُوف	we+look+it;him	$.#.f	ش.#.ف
bfAnlp	بفانلة	fAnil~ap	فانِلَّة	noun	fAnil~	فانِلّ	by;with+flannel+[fem.sg.]	NTWS	NTWS
AlzmAlk	الزمالك	zamAlik	زَمالِك	noun_prop	zamAlik	زَمالِك	the+Zamalek	z.m.l.k	ز.م.ل.ك
ykwn	يكون	kAn	كان	verb	kuwn	كُون	he;it+is;are	k.#.n	ك.#.ن
Hd	حد	Had~	حَدّ	noun	Had~	حَدّ	stop;halt+[indef.gen.]	H.d.d	ح.د.د
zElhA	زعلها	zaEal	زَعَل	noun	zaEal	زَعَل	anger;displeasure+its;their;her	z.E.l	ز.ع.ل
jAb	جاب	jAb	جاب	verb	jAb	جاب	explore;traverse+he;it_<verb>	j.#.b	ج.#.ب
jwn	جون	juwn	جُون	noun_prop	juwn	جُون	John	NTWS	NTWS
fy	في	fiy	فِي	prep	fiy	فِي	in	f.#	ف.#
nfsh	نفسه	nafos	نَفْس	noun	nafos	نَفْس	soul+its;his	n.f.s	ن.ف.س
ftHt	فتحت	fataH	فَتَح	verb	fataH	فَتَح	open;conquer+it;they;she_<verb>	f.t.H	ف.ت.ح
mE	مع	maE	مَع	prep	maEa	مَعَ	with	mE	مع
AlAhly	الاهلي	>aholiy~	أَهْلِيّ	noun_prop	>aholiy~	أَهْلِيّ	the+Ahly;Ahli	#.h.l	#.ه.ل
ElY	على	EalaY	عَلَى	prep	EalaY	عَلَى	on;above	E.l.#	ع.ل.#
