word_bw	word_ar	lemma_bw	lemma_ar	pos	stem_bw	stem_ar	gloss	root_bw	root_ar
lk	لك	li	لِ	prep	laka	لَكَ	to;for_+_you_[masc.sg.]_(you_have)	l	ل
AltfASyl	التفاصيل	tafoSiyl	تَفْصِيل	noun	tafASiyl	تَفاصِيل	the+details+[def.gen.]	f.S.l	ف.ص.ل
ltkt$f	لتكتشف	{ikota$af	ٱِكْتَشَف	verb	kota$if	كْتَشِف	for_+_it;them;her_(to)+discover;detect	k.$.f	ك.ش.ف
Hqyqp	حقيقة	Haqiyqap	حَقِيقَة	noun	Haqiyq	حَقِيق	truth;reality+[fem.sg.]	H.q.q	ح.ق.ق
w>sAs	وأساس	>asAs	أَساس	noun	>asAs	أَساس	[part.]+foundation;basis	#.s.s	#.س.س
tlk	تلك	*`lika	ذٰلِكَ	pron_dem	tiloka	تِلْكَ	that;those	*.#	ذ.#
AlsEAdp	السعادة	saEAdap	سَعادَة	noun	saEAd	سَعاد	the+happiness+[fem.sg.]	s.E.d	س.ع.د
Alb$ryp	البشرية	ba$ariy~	بَشَرِيّ	adj	ba$ariy~	بَشَرِيّ	the+human+[fem.sg.]	b.$.r	ب.ش.ر
flA	فلا	lA	لا	part_neg	lA	لا	and;so+no;not	l.#	ل.#
>Hd	أحد	>aHad	أَحَد	noun	>aHad	أَحَد	one;someone+[def.nom.]	#.H.d	#.ح.د
yrfD	يرفض	rafaD	رَفَض	verb	rofuD	رْفُض	he;it+reject;refuse	r.f.D	ر.ف.ض
>w	أو	>aw	أَو	conj	>aw	أَو	or	#.#.n	#.#.ن
ykrh	يكره	karih	كَرِه	verb	korah	كْرَه	he;it+hate;loathe;dislike	k.r.h	ك.ر.ه
>w	أو	>aw	أَو	conj	>aw	أَو	or	#.#.n	#.#.ن
ytjnb	يتجنب	tajan~ab	تَجَنَّب	verb	tajan~ab	تَجَنَّب	he;it+avoid	j.n.b	ج.ن.ب
Al$Ewr	الشعور	$uEuwr	شُعُور	noun	$uEuwr	شُعُور	the+feeling;sentiment;awareness+[def.gen.]	$.E.r	ش.ع.ر
bAlsEAdp	بالسعادة	saEAdap	سَعادَة	noun	saEAd	سَعاد	with;by_+_the+happiness+[fem.sg.]	s.E.d	س.ع.د
wlkn	ولكن	l`kin	لٰكِن	conj	l`kin	لٰكِن	and+however	l.k.n	ل.ك.ن
bfDl	بفضل	faDol	فَضْل	noun	faDol	فَضْل	by;with+distinction;quality+[def.gen.]	f.D.l	ف.ض.ل
h&lA'	هؤلاء	h`*A	هٰذا	pron_dem	h`&ulA'i	هٰؤُلاءِ	these	h	ه
Al>$xAS	الأشخاص	$axoS	شَخْص	noun	>a$oxAS	أَشْخاص	the+individuals;persons+[def.gen.]	$.x.S	ش.خ.ص
Al*yn	الذين	Al~a*iy	الَّذِي	pron_rel	Al~a*iyna	الَّذِينَ	who;whom_[pl.]	#.l	#.ل
lA	لا	lA	لا	part_neg	lA	لا	no;not	l.#	ل.#
ydrkwn	يدركون	>adorak	أَدْرَك	verb	dorik	دْرِك	they_(people)+comprehend;realize+[masc.pl.]	d.r.k	د.ر.ك
b>n	بأن	>an~a	أَنَّ	conj_sub	bi>an~a	بِأَنَّ	with_+_that	#.n.n	#.ن.ن
AlsEAdp	السعادة	saEAdap	سَعادَة	noun	saEAd	سَعاد	the+happiness+[fem.sg.]	s.E.d	س.ع.د
lA	لا	lA	لا	part_neg	lA	لا	no;not	l.#	ل.#
bd	بد	bud~	بُدّ	noun	bud~	بُدّ	escape;avoiding+[def.acc.]	b.d.d	ب.د.د
>n	أن	>an~a	أَنَّ	conj_sub	>an~a	أَنَّ	that	#.n.n	#.ن.ن
bSwrp	بصورة	Suwrap	صُورَة	noun	Suwr	صُور	by;with+picture;image;illustration;photo+[fem.sg.]	S.#.r	ص.#.ر
>kvr	أكثر	>akovar	أَكْثَر	adj	>akovar	أَكْثَر	more;most+[def.acc.]	k.v.r	ك.ث.ر
EqlAnyp	عقلانية	EaqolAniy~ap	عَقْلانِيَّة	noun	EaqolAniy~	عَقْلانِيّ	rationalism+[fem.sg.]	E.q.l	ع.ق.ل
wmnTqyp	ومنطقية	manoTiqiy~	مَنْطِقِيّ	adj	manoTiqiy~	مَنْطِقِيّ	[part.]+logical+[fem.sg.]	n.T.q	ن.ط.ق
fyErDhm	فيعرضهم	EaraD	عَرَض	verb	EoriD	عْرِض	and;so_+_he;it+exhibit;present;review;inspect+them	E.r.D	ع.ر.ض
h*A	هذا	h`*A	هٰذا	pron_dem	h`*A	هٰذا	this	h	ه
lmwAjhp	لمواجهة	muwAjahap	مُواجَهَة	noun	muwAjah	مُواجَه	for;to+encounter;confrontation+[fem.sg.]	#.j.h	#.ج.ه
AlZrwf	الظروف	Zarof	ظَرْف	noun	Zuruwf	ظُرُوف	the+circumstances;condition;situation+[def.gen.]	Z.r.f	ظ.ر.ف
Al>lymp	الأليمة	>aliym	أَلِيم	noun	>aliym	أَلِيم	the+painful;cruel+[fem.sg.]	#.l.m	#.ل.م
w>krr	وأكرر	kar~ar	كَرَّر	verb	kar~ir	كَرِّر	and_+_I+repeat;reiterate	k.r.r	ك.ر.ر
b>nh	بأنه	>an~a	أَنَّ	conj_sub	bi>an~a	بِأَنَّ	with_+_that+it;he	#.n.n	#.ن.ن
lA	لا	lA	لا	part_neg	lA	لا	no;not	l.#	ل.#
ywjd	يوجد	wajad	وَجَد	verb	wjad	وجَد	he;it+be_found;exist	#.j.d	#.ج.د
mn	من	min	مِن	prep	min	مِن	from	m.n	م.ن
yrgb	يرغب	ragib	رَغِب	verb	rogab	رْغَب	he;it+wish;desire	r.g.b	ر.غ.ب
fy	في	fiy	فِي	prep	fiy	فِي	in	f.#	ف.#
AlHb	الحب	Hub~	حُبّ	noun	Hub~	حُبّ	the+love;affection+[def.gen.]	H.b.b	ح.ب.ب
wnyl	ونيل	nayol	نَيْل	noun	nayol	نَيْل	and+attainment;achievement;acquiring+[def.gen.]	n.#.l	ن.#.ل
AlmnAl	المنال	manAl	مَنال	noun	manAl	مَنال	the+attainment;acquiring;obtaining+[def.gen.]	n.#.l	ن.#.ل
wytl**	ويتلذذ	tala*~a*	تَلَذَّذ	verb	tala*~a*	تَلَذَّذ	and_+_he;it+be_pleased;be_delighted	l.*.*	ل.ذ.ذ
bAl|lAm	بالآلام	>alam	أَلَم	noun	|lAm	آلام	with;by_+_the+pain;suffering	#.l.m	#.ل.م
Al>lm	الألم	>alam	أَلَم	noun	>alam	أَلَم	the+pain;suffering+[def.nom.]	#.l.m	#.ل.م
hw	هو	huwa	هُوَ	pron	huwa	هُوَ	it;he	h	ه
Al>lm	الألم	>alam	أَلَم	noun	>alam	أَلَم	the+pain;suffering+[def.nom.]	#.l.m	#.ل.م
wlkn	ولكن	l`kin	لٰكِن	conj	l`kin	لٰكِن	and+however	l.k.n	ل.ك.ن
ntyjp	نتيجة	natiyjap	نَتِيجَة	noun	natiyj	نَتِيج	result;consequence+[fem.sg.]	n.t.j	ن.ت.ج
lZrwf	لظروف	Zarof	ظَرْف	noun	Zuruwf	ظُرُوف	for;to+circumstances;condition;situation+[indef.gen.]	Z.r.f	ظ.ر.ف
mA	ما	mA	ما	pron_rel	mA	ما	what	m.#	م.#
qd	قد	qado	قَدْ	part_verb	qad	قَد	(has;have)	q.d	ق.د
tkmn	تكمن	kaman	كَمَن	verb	komun	كْمُن	it;they;she+be_latent;be_concealed	k.m.n	ك.م.ن
AlsEAdh	السعاده	saEAdap	سَعادَة	noun	saEAd	سَعاد	the+happiness+[fem.sg.]	s.E.d	س.ع.د
fymA	فيما	mA	ما	conj_sub	fiymA	فِيما	while;during_which	f.#	ف.#
ntHmlh	نتحمله	taHam~al	تَحَمَّل	verb	taHam~al	تَحَمَّل	we+assume;bear_(reponsibility)+it;him	H.m.l	ح.م.ل
mn	من	min	مِن	prep	min	مِن	from	m.n	م.ن
kd	كد	kad~	كَدّ	noun	kad~	كَدّ	toil;labor	k.d.d	ك.د.د
w>sy	وأسي	>asaY	أَسَى	noun	>asaY	أَسَى	[part.]+affliction;sorrow	#.s.#	#.س.#
w	و	wa	وَ	conj	wa	وَ	and	NTWS	NTWS
s>ErD	سأعرض	EaraD	عَرَض	verb	EoriD	عْرِض	will_+_I+exhibit;present;review;inspect	E.r.D	ع.ر.ض
mvAl	مثال	mivAl	مِثال	noun	mivAl	مِثال	example;model+[indef.nom.]	m.v.l	م.ث.ل
Hy	حي	Hay~	حَيّ	noun	Hay~	حَيّ	quarter;district+[def.gen.]	H.#.#	ح.#.#
lh*A	لهذا	h`*A	هٰذا	pron_dem	h`*A	هٰذا	for;to+this	h	ه
mn	من	min	مِن	prep	min	مِن	from	m.n	م.ن
mnA	منا	min	مِن	prep	min	مِن	from+us	m.n	م.ن
lm	لم	lam	لَم	part_neg	lam	لَم	not	l.m	ل.م
ytHml	يتحمل	taHam~al	تَحَمَّل	verb	taHam~al	تَحَمَّل	he;it+assume;bear_(reponsibility)	H.m.l	ح.م.ل
jhd	جهد	juhod	جُهْد	noun	juhod	جُهْد	strain;exertion+[indef.gen.]	j.h.d	ج.ه.د
bdny	بدني	badaniy~	بَدَنِيّ	adj	badaniy~	بَدَنِيّ	physical;bodily	b.d.n	ب.د.ن
$Aq	شاق	$Aq~	شاقّ	noun	$Aq~	شاقّ	hard;toilsome	$.q.q	ش.ق.ق
<lA	إلا	<il~A	إِلّا	part	<il~A	إِلّا	however;except	#.l.l	#.ل.ل
mn	من	min	مِن	prep	min	مِن	from	m.n	م.ن
>jl	أجل	>ajol	أَجْل	noun	>ajol	أَجْل	for_sake_of;because_of+[def.gen.]	#.j.l	#.ج.ل
AlHSwl	الحصول	HuSuwl	حُصُول	noun	HuSuwl	حُصُول	the+acquisition;obtaining+[def.gen.]	H.S.l	ح.ص.ل
ElY	على	EalaY	عَلَى	prep	EalaY	عَلَى	on;above	E.l.#	ع.ل.#
myzp	ميزة	miyzap	مِيزَة	noun	miyz	مِيز	distinguishing_feature;characteristic;advantage+[fem.sg.]	m.#.z	م.#.ز
>w	أو	>aw	أَو	conj	>aw	أَو	or	#.#.n	#.#.ن
fA}dp	فائدة	fA}idap	فائِدَة	noun	fA}id	فائِد	benefit;use+[fem.sg.]	f.#.d	ف.#.د
wlkn	ولكن	l`kin	لٰكِن	conj	l`kin	لٰكِن	and+however	l.k.n	ل.ك.ن
mn	من	min	مِن	prep	min	مِن	from	m.n	م.ن
ldyh	لديه	ladaY	لَدَى	noun	laday	لَدَي	with;by+it;him	l.d.#	ل.د.#
AlHq	الحق	Haq~	حَقّ	noun	Haq~	حَقّ	the+truth;right+[def.acc.]	H.q.q	ح.ق.ق
>n	أن	>an~a	أَنَّ	conj_sub	>an~a	أَنَّ	that	#.n.n	#.ن.ن
yntqd	ينتقد	{inotaqad	ٱِنْتَقَد	verb	notaqid	نْتَقِد	he;it+criticize	n.q.d	ن.ق.د
$xS	شخص	$axoS	شَخْص	noun	$axoS	شَخْص	individual;person+[indef.gen.]	$.x.S	ش.خ.ص
mA	ما	mA	ما	pron_rel	mA	ما	what	m.#	م.#
>rAd	أراد	>arAd	أَراد	verb	>arAd	أَراد	want;desire;intend+he;it_<verb>	r.#.d	ر.#.د
>n	أن	>an~a	أَنَّ	conj_sub	>an~a	أَنَّ	that	#.n.n	#.ن.ن
y$Er	يشعر	$aEar	شَعَر	verb	$oEur	شْعُر	he;it+feel;be_aware	$.E.r	ش.ع.ر
bAlsEAdp	بالسعادة	saEAdap	سَعادَة	noun	saEAd	سَعاد	with;by_+_the+happiness+[fem.sg.]	s.E.d	س.ع.د
Alty	التي	Al~a*iy	الَّذِي	pron_rel	Al~atiy	الَّتِي	which;who;whom_[fem.sg.]	#.l	#.ل
lA	لا	lA	لا	part_neg	lA	لا	no;not	l.#	ل.#
t$wbhA	تشوبها	$Ab	شاب	verb	$uwb	شُوب	you_[masc.sg.]+corrupt;adulterate+it;them;her	$.#.b	ش.#.ب
EwAqb	عواقب	EAqibap	عاقِبَة	noun	EawAqib	عَواقِب	results;consequences+[def.acc.]	E.q.b	ع.ق.ب
>lymp	أليمة	>aliym	أَلِيم	noun	>aliym	أَلِيم	painful;cruel+[fem.sg.]	#.l.m	#.ل.م
>w	أو	>aw	أَو	conj	>aw	أَو	or	#.#.n	#.#.ن
|xr	آخر	|xar	آخَر	adj	|xar	آخَر	other;another;latest+[def.gen.]	#.x.r	#.خ.ر
>rAd	أراد	>arAd	أَراد	verb	>arAd	أَراد	want;desire;intend+he;it_<verb>	r.#.d	ر.#.د
>n	أن	>an~a	أَنَّ	conj_sub	>an~a	أَنَّ	that	#.n.n	#.ن.ن
ytjnb	يتجنب	tajan~ab	تَجَنَّب	verb	tajan~ab	تَجَنَّب	he;it+avoid	j.n.b	ج.ن.ب
Al>lm	الألم	>alam	أَلَم	noun	>alam	أَلَم	the+pain;suffering+[def.nom.]	#.l.m	#.ل.م
Al*y	الذي	Al~a*iy	الَّذِي	pron_rel	Al~a*iy	الَّذِي	which;who;whom	#.l	#.ل
rbmA	ربما	rub~amA	رُبَّما	adv	rub~amA	رُبَّما	perhaps;maybe	r.b.b	ر.ب.ب
tnjm	تنجم	najam	نَجَم	verb	nojum	نْجُم	it;they;she+appear;originate	n.j.m	ن.ج.م
Enh	عنه	Ean	عَن	prep	Ean	عَن	from;about+it;him	E.n	ع.ن
bED	بعض	EaD~	عَضّ	noun	EaD~	عَضّ	by;with+biting+[def.gen.]	E.D.D	ع.ض.ض
AlmtEp	المتعة	mutoEap	مُتْعَة	noun	mutoE	مُتْع	the+pleasure;enjoyment+[fem.sg.]	m.t.E	م.ت.ع
Ely	علي	EalaY	عَلَى	prep	EalaY	عَلَى	on;above	E.l.#	ع.ل.#
AljAnb	الجانب	jAnib	جانِب	noun	jAnib	جانِب	the+side;aspect+[def.gen.]	j.n.b	ج.ن.ب
Al|xr	الآخر	|xar	آخَر	adj	|xar	آخَر	the+other;another;latest+[def.gen.]	#.x.r	#.خ.ر
n$jb	نشجب	$ajab	شَجَب	verb	$ojub	شْجُب	we+afflict;condemn;censure	$.j.b	ش.ج.ب
wnstnkr	ونستنكر	{isotanokar	ٱِسْتَنْكَر	verb	sotanokir	سْتَنْكِر	[part.]_+_we+be_ignorant_of;have_no_knowledge_of;repudiate	n.k.r	ن.ك.ر
h&lA'	هؤلاء	h`*A	هٰذا	pron_dem	h`&ulA'i	هٰؤُلاءِ	these	h	ه
AlrjAl	الرجال	rajul	رَجُل	noun	rijAl	رِجال	the+men;people+[def.nom.]	r.j.l	ر.ج.ل
Almftwnwn	المفتونون	mafotuwn	مَفْتُون	adj	mafotuwn	مَفْتُون	the+fascinated;charmed;possessed+[masc.pl.]	f.t.n	ف.ت.ن
bn$wp	بنشوة	na$owap	نَشْوَة	noun	na$ow	نَشْو	by;with+intoxication;rapture;elation+[fem.sg.]	n.$.#	ن.ش.#
AllHZp	اللحظة	laHoZap	لَحْظَة	noun	laHoZ	لَحْظ	the+moment;instant+[fem.sg.]	l.H.Z	ل.ح.ظ
AlhA}mwn	الهائمون	hA}im	هائِم	noun	hA}im	هائِم	the+confused;mystified;mad_with_love+[masc.pl.]	h.#.m	ه.#.م
fy	في	fiy	فِي	prep	fiy	فِي	in	f.#	ف.#
rgbAthm	رغباتهم	ragobap	رَغْبَة	noun	ragab	رَغَب	desires;wishes+[fem.pl.]_their	r.g.b	ر.غ.ب
flA	فلا	lA	لا	part_neg	lA	لا	and;so+no;not	l.#	ل.#
ydrkwn	يدركون	>adorak	أَدْرَك	verb	dorik	دْرِك	they_(people)+comprehend;realize+[masc.pl.]	d.r.k	د.ر.ك
mA	ما	mA	ما	pron_rel	mA	ما	what	m.#	م.#
yEqbhA	يعقبها	>aEoqab	أَعْقَب	verb	Eoqib	عْقِب	he;it+follow;pursue+it;them;her	E.q.b	ع.ق.ب
mn	من	min	مِن	prep	min	مِن	from	m.n	م.ن
Al>lm	الألم	>alam	أَلَم	noun	>alam	أَلَم	the+pain;suffering+[def.nom.]	#.l.m	#.ل.م
wAl>sy	والأسي	>asaY	أَسَى	noun	>asaY	أَسَى	[part.]_+_the+affliction;sorrow	#.s.#	#.س.#
AlmHtm	المحتم	>alomaH	أَلْمَح	verb	>alomaH	أَلْمَح	mention;refer+you_[masc.pl.]_<verb>	l.m.H	ل.م.ح
wAllwm	واللوم	lawom	لَوْم	noun	lawom	لَوْم	[part.]_+_the+blame;censure	l.#.m	ل.#.م
k*lk	كذلك	*`lika	ذٰلِكَ	pron_dem	*`lika	ذٰلِكَ	like;such_as+that	*.#	ذ.#
y$ml	يشمل	$amil	شَمِل	verb	$omal	شْمَل	he;it+comprise;include;contain	$.m.l	ش.م.ل
h&lA'	هؤلاء	h`*A	هٰذا	pron_dem	h`&ulA'i	هٰؤُلاءِ	these	h	ه
Al*yn	الذين	Al~a*iy	الَّذِي	pron_rel	Al~a*iyna	الَّذِينَ	who;whom_[pl.]	#.l	#.ل
>xfqwA	أخفقوا	>axofaq	أَخْفَق	verb	>axofaq	أَخْفَق	fail;go_down+they_<verb>	x.f.q	خ.ف.ق
fy	في	fiy	فِي	prep	fiy	فِي	in	f.#	ف.#
wAjbAthm	واجباتهم	wAjib	واجِب	noun	wAjib	واجِب	duty;obligation;requirement+[fem.pl.]_their	#.j.b	#.ج.ب
ntyjp	نتيجة	natiyjap	نَتِيجَة	noun	natiyj	نَتِيج	result;consequence+[fem.sg.]	n.t.j	ن.ت.ج
lDEf	لضعف	DuEof	ضُعْف	noun	DuEof	ضُعْف	for;to+weakness;impotence+[def.gen.]	D.E.f	ض.ع.ف
<rAdthm	إرادتهم	>arAd	أَراد	verb	>arAd	أَراد	want;desire;intend+it;they;she_<verb>_them	r.#.d	ر.#.د
fytsAwy	فيتساوي	tasAwaY	تَساوَى	verb	tasAwaY	تَساوَى	and;so_+_he;it+be_balanced;be_equal	s.#.#	س.#.#
mE	مع	maE	مَع	prep	maEa	مَعَ	with	mE	مع
h&lA'	هؤلاء	h`*A	هٰذا	pron_dem	h`&ulA'i	هٰؤُلاءِ	these	h	ه
Al*yn	الذين	Al~a*iy	الَّذِي	pron_rel	Al~a*iyna	الَّذِينَ	who;whom_[pl.]	#.l	#.ل
ytjnbwn	يتجنبون	tajan~ab	تَجَنَّب	verb	tajan~ab	تَجَنَّب	they_(people)+avoid+[masc.pl.]	j.n.b	ج.ن.ب
wyn>wn	وينأون	na>aY	نَأَى	verb	no>a	نْأَ	[part.]_+_they_(people)+be_distant;go_away+[masc.pl.]	n.#.#	ن.#.#
En	عن	Ean	عَن	prep	Ean	عَن	from;about	E.n	ع.ن
tHml	تحمل	Hamal	حَمَل	verb	Homil	حْمِل	it;they;she+carry;bear;transport	H.m.l	ح.م.ل
AlkdH	الكدح	kadoH	كَدْح	noun	kadoH	كَدْح	the+exertion;toil	k.d.H	ك.د.ح
wAl>lm	والألم	>alam	أَلَم	noun	>alam	أَلَم	and_+_the+pain;suffering+[def.nom.]	#.l.m	#.ل.م
